day,spacecraft_x_km,spacecraft_y_km,spacecraft_vx_km_s,spacecraft_vy_km_s,earth_x_km,earth_y_km,moon_x_km,moon_y_km,mars_x_km,mars_y_km,distance_to_mars_km
0.0,150050349.09292135,-41745.226545275735,0.29663283344161134,32.99990848928984,149597870.7,0.0,149980645.11513856,-35314.40379402287,160898293.58857656,161455932.12057656,161861600.413118
0.5,150055176.3043703,1383637.040926016,-0.06545317751472057,32.9835808685266,149592337.2545797,1286682.8226109068,149976635.7018992,1295518.1713762465,160158259.01525998,162190045.82846904,161123472.49053898
1.0,150045219.60249132,2807822.2925999593,-0.390995297243286,32.94960671240775,149575737.3276698,2573270.4595197868,149956484.34472978,2626138.871638171,159414875.0139094,162920767.61708328,160386862.6259947
1.5,150021729.3857043,4230417.86455059,-0.6931871667042321,32.911065819453846,149548072.14729303,3859667.732066223,149920239.175696,3955870.969900038,158668157.1310925,163648082.20465934,159651972.7921074
2.0,149985568.15115374,5651347.958150745,-0.9786922080789001,32.8730605500714,149509343.7600529,5145779.475672495,149868015.55804485,5284046.974836992,157918120.98309922,164371974.38069314,158918729.69035423
2.5,149937326.56904554,7070684.421027018,-1.253285961144749,32.837363564004164,149459555.03098235,6431510.54688363,149799994.58947086,6610016.196699352,157164782.2556152,165092429.00625414,158186939.65514374
3.0,149877382.73757797,8488527.131496398,-1.5209880859405378,32.80380068572074,149398709.64333192,7716765.83040588,149716420.74797,7933152.091498486,156408156.70339367,165809431.01430222,157456399.7019353
3.5,149805976.21142197,9904952.613836054,-1.784281758601744,32.77161442579969,149326812.0982971,9001450.246143127,149617598.7113704,9252859.286667412,155648260.14992604,166522965.41000265,156726941.56984723
4.0,149723262.62170076,11320003.131720638,-2.04465155435958,32.74002427662695,149243867.7146854,10285468.756230682,149503889.39254102,10568580.195500024,154885108.487111,167233017.27103966,155998437.911236
4.5,149629347.43587774,12733689.887907263,-2.302988021052404,32.70838192853259,149149882.628523,11568726.37206596,149375705.24263686,11879801.133103842,154118717.67492205,167939571.74792865,155270796.3819666
5.0,149524305.82672578,14145999.28814365,-2.559833808481196,32.67618516972909,149044863.79260054,12851128.161335483,149233504.8844066,13186057.853184715,153349103.7410738,168642614.06432655,154543951.8596113
5.5,149408194.35912693,15556898.784975095,-2.8155252508851345,32.643053903980615,148928818.9759591,14132579.255037794,149077787.1464343,14486940.432631029,152576282.7806868,169342129.51734105,153817859.7421439
6.0,149281057.99111933,16966341.532204572,-3.0702734648673693,32.60870180478608,148801756.7633152,15412984.854501585,148909084.57709953,15782097.439478412,151800270.95595095,170038103.47783783,153092490.7991989
6.5,149142934.37443933,18374269.900611177,-3.324211536713676,32.57291250538889,148663686.5544259,16692250.238398707,148727956.52390915,17071239.329300568,151021084.49578732,170730521.39074683,152367827.3652407
7.0,148993856.56751746,19780618.08972925,-3.577422626516774,32.53552149552174,148514618.56339332,17970280.769751422,148534981.8695953,18354141.02526184,150238739.69550914,171419368.77536637,151643860.55328178
